schemashardid,targetshardfamily,targetversion,colindex,colname,coltype,alnvarid,units,mandatory,isriskcoord,safeband,goldband,hardband,lyapweight,lyapchannel,rustsymbol,csymbol,description,citations
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,0,substrate_id,String,,dimensionless,true,false,,,,,,substrate_id,substrate_id,Unique identifier for substrate formulation,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,1,channel_type,String,,dimensionless,true,false,,,,,,channel_type,channel_type,tray lining packed_bed wetland_medium,ecosafety-core-v2
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,2,region_id,String,,dimensionless,true,false,,,,,,region_id,region_id,Region or basin identifier,ecosafety-core-v2
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,3,test_id,String,,dimensionless,true,false,,,,,,test_id,test_id,Unique experiment or scenario identifier,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,4,lab_site,String,,dimensionless,true,false,,,,,,lab_site,lab_site,Lab or field site identifier,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,5,fluid_kind,String,,dimensionless,true,false,,,,,,fluid_kind,fluid_kind,wastewater canal_water stormwater,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,6,temp_c,Float,,degC,true,false,,,,,,temp_c,temp_c,Temperature during test degrees C,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,7,flow_regime,String,,dimensionless,true,false,,,,,,flow_regime,flow_regime,laminar transitional turbulent,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,8,t90_days,Float,,days,true,false,,,,,,t90_days,t90_days,Time to 90% mass loss under test conditions,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,9,mass_loss_fraction_90d,Float,,fraction,true,false,,,,,,mass_loss_fraction_90d,mass_loss_fraction_90d,Mass fraction lost after 90 days,econet-material-cybo
BSK2026V1-SCHEMA-001,BiodegradableSubstrateChannelKinetics2026v1,1.0.0,10,leachate_chem_cec_mgL,Float,,mg/L,true,false,,,,,,leachate_chem_cec_mgL,leachate_chem_cec_mgL,Concentration of contaminants of emerging concern in leachate,econet-material-cybo
